country,income,employ_above_15,agr,ind,ser,education,region,log_income,log_agr
Gabon,3999.642216,52.70000076,,,,5.2,Africa,8.293960190101496,
Gambia,593.5751773,65.30000305,,,,1.7,Africa,6.386163873761825,
Georgia,1083.08988,48.5,57.40000153,3.900000095,38.5,12.2,Eastern Europe,6.987573235247122,4.050044329980572
Germany,24463.84647,46.09999847,1.600000024,16.10000038,82.19999695,11.7,Western Europe and Other,10.104951652397025,0.4700036442457355
Ghana,305.7511071,64.5,,,,4.8,Africa,5.7227713954928605,
Greece,14352.83954,37.0,13.19999981,9.699999809,77.0,9.7,Western Europe and Other,9.571703078964543,2.5802168151983857
Greenland,20556.63474,,,,,,,9.930939026210986,
Grenada,6102.639132,,,,,,Latin America and Caribbean,8.716476601187882,
Guadeloupe,,39.0,,,,,,,
Guatemala,1810.295335,42.5,19.10000038,24.60000038,75.09999847,3.6,Latin America and Caribbean,7.501245279457626,2.949688354947872
Guinea,388.163132,77.69999695,,,,0.9,Africa,5.961425694560726,
Guinea-Bissau,154.2631682,50.59999847,,,,1.0,Africa,5.038660028347588,
Guyana,1037.127543,42.5,,,,9.0,Latin America and Caribbean,6.944210192952035,
Haiti,384.5855208,34.90000153,,,,3.0,Latin America and Caribbean,5.9521661850201,
Honduras,1354.497039,35.0,,,,5.4,Latin America and Caribbean,7.211185475476249,
"Hong Kong, China",32952.71213,50.20000076,0.200000003,6.300000191,93.5,,,10.402828847013742,-1.6094378974341004
Hungary,5868.3017,40.20000076,2.700000048,21.10000038,76.19999695,10.9,Eastern Europe,8.677320552392455,0.993251790788061
Iceland,36952.19207,69.69999695,2.599999905,9.0,85.90000153,11.6,Western Europe and Other,10.517380249921137,0.9555114084889741
India,621.8994139,32.70000076,,,,3.1,Asia-Pacific,6.432778365674925,
Indonesia,953.9355312,42.09999847,44.59999847,15.0,40.5,5.5,Asia-Pacific,6.860596091806343,3.7977338247210852
Iran,1994.647193,26.20000076,,,,4.6,Asia-Pacific,7.598222468070899,
Iraq,710.2087191,12.30000019,,,,3.3,Asia-Pacific,6.565558897397862,
Ireland,30669.37259,50.20000076,1.299999952,11.30000019,87.0,11.2,Western Europe and Other,10.33101980010088,0.2623642275444135
Isle of Man,27612.48388,,0.699999988,3.900000095,95.40000153,,,10.22602326393463,-0.35667496108158975
Israel,20715.56805,45.90000153,0.600000024,10.19999981,88.40000153,12.2,Western Europe and Other,9.93864077629338,-0.5108255837659915
Italy,20102.23023,34.40000153,3.299999952,16.79999924,79.90000153,9.9,Western Europe and Other,9.908586044608343,1.19392245392698
Jamaica,,49.0,8.300000191,4.599999905,86.80000305,9.9,Latin America and Caribbean,8.162120526147186,2.1162555378146
Japan,39965.85551,46.59999847,4.300000191,17.70000076,76.90000153,12.0,Asia-Pacific,10.595780756311674,1.4586150671181204
Jordan,2250.274213,13.19999981,,,,7.9,Asia-Pacific,7.718807360217068,
Kazakhstan,2166.323302,57.40000153,,,,11.5,Asia-Pacific,7.680786678656971,
Kenya,442.0213127,66.59999847,,,,5.3,Africa,6.09135809969349,
Kiribati,769.2194408,,,,,8.6,,6.6453762874462035,
"Korea, Dem. Rep.",,56.0,,,,,,,
"Korea, Rep.",,48.59999847,8.600000381,16.0,75.30000305,11.4,,,2.1517622475617864
Kosovo,1614.51344,,,,,,,7.386788914722368,
Kuwait,25034.0479,41.59999847,,,,6.4,Asia-Pacific,10.127992093283916,
Kyrgyz Republic,325.8628655,,,,,,,5.786476634889861,
Kyrgyzstan,,48.70000076,35.40000153,10.69999981,53.79999924,11.0,Asia-Pacific,,3.5667118633600667
Lao,435.6645778,,,,,,,6.076872630300395,
Laos,,78.09999847,,,,2.3,Asia-Pacific,,
Latvia,5695.361455,50.40000153,7.900000095,16.39999962,74.80000305,12.5,Eastern Europe,8.64740734269953,2.0668627714982923
Lebanon,5103.490175,22.20000076,,,,7.8,Asia-Pacific,8.537679932692292,
Lesotho,430.3513273,52.20000076,,,,7.9,Africa,6.0646019153244906,
Liberia,196.9509939,53.0,,,,2.0,Africa,5.282954935862674,
Libya,7458.766454,22.10000038,,,,,Africa,8.917145324833523,
Liechtenstein,80275.88488,,,,,11.6,Western Europe and Other,11.293224542005026,
Lithuania,5287.136551,48.09999847,10.19999981,19.5,70.30000305,12.1,Eastern Europe,8.573032083592484,2.322387701662774
Luxembourg,53628.23455,43.09999847,,,,10.7,Western Europe and Other,10.88983097235998,
"Macao, China",24595.65317,57.40000153,0.200000003,18.10000038,81.69999695,,,10.110325005900593,-1.6094378974341004
"Macedonia, FYR",1993.12215,26.29999924,20.29999924,29.29999924,50.09999847,9.1,,7.597457607847966,3.0106208486093173
Madagascar,247.3222293,81.0,,,,4.0,Africa,5.510692058477982,
Malawi,148.2569961,69.19999695,,,,3.0,Africa,4.998947227995393,
Malaysia,4695.229726,42.79999924,10.0,24.70000076,65.19999695,7.2,Asia-Pacific,8.454302320370786,2.302585092994046
Maldives,3209.469325,40.40000153,7.099999905,31.79999924,55.90000153,3.3,Asia-Pacific,8.073860883142675,1.960094770666988
Mali,255.1821602,33.79999924,,,,0.8,Africa,5.54197764385474,
Malta,10405.84596,28.89999962,0.200000003,14.80000019,84.40000153,11.6,Western Europe and Other,9.250123038742414,-1.6094378974341004
Marshall Islands,2404.736431,,,,,8.5,Asia-Pacific,7.785195584434416,
Martinique,,38.90000153,,,,,,,
Mauritania,616.1063541,45.90000153,,,,1.3,Africa,6.423419601390488,
Mauritius,4419.912257,35.20000076,8.100000381,27.29999924,64.30000305,7.4,Africa,8.393875123517237,2.091864108715429
Mexico,6211.927234,40.59999847,4.599999905,19.0,75.69999695,7.1,Latin America and Caribbean,8.73422647042019,1.5260562828428752
"Micronesia, Fed. Sts.",2185.269074,,,,,,,7.689494245943268,
Moldova,530.0947081,44.20000076,31.89999962,12.39999962,55.59999847,10.8,Eastern Europe,6.273055685110504,3.462605997878573
Monaco,85942.67113,,,,,11.6,Western Europe and Other,11.361435738181788,
Mongolia,653.8074697,50.40000153,,,,8.8,Asia-Pacific,6.482812919278378,
Montenegro,1958.154415,45.199999915,,,,10.2,Eastern Europe,7.579757683617246,
Morocco,1632.1342,23.29999924,61.29999924,14.5,24.10000038,2.2,Africa,7.397643762535476,4.115779830544123
Mozambique,323.7736997,82.19999695,,,,1.5,Africa,5.780044814041051,
Myanmar,,66.40000153,,,,4.3,Asia-Pacific,,
Namibia,2512.927204,37.20000076,,,,6.4,Africa,7.82920356935641,
Nepal,241.0469797,54.59999847,,,,1.1,Asia-Pacific,5.484991851007524,
Netherlands,26007.67914,53.29999924,,,,11.1,Western Europe and Other,10.166147124934401,
Netherlands Antilles,,46.20000076,,,,,,,
New Zealand,15103.23038,58.29999924,5.099999905,10.5,84.09999847,12.0,Western Europe and Other,9.622663932373063,1.629240521102829
Nicaragua,1130.956438,34.90000153,8.399999619,17.79999924,73.19999695,5.4,Latin America and Caribbean,7.03081895901714,2.128231660492124
Niger,171.7644805,38.09999847,,,,0.5,Africa,5.146124239047716,
Nigeria,458.6349173,36.09999847,,,,3.6,Africa,6.128254506426388,
Norway,41245.80863,59.5,1.399999976,7.900000095,90.5,13.3,Western Europe and Other,10.62730477763059,0.3364722194783556
Oman,10006.30307,21.89999962,,,,4.5,Asia-Pacific,9.210970480416156,
Pakistan,620.2956378,18.79999924,,,,2.1,Asia-Pacific,6.430196199550669,
Palau,6587.7246,,,,,,Asia-Pacific,8.792963287145062,
Panama,4726.880151,40.90000153,4.5,8.800000191,86.69999695,9.4,Latin America and Caribbean,8.461020676336,1.5040773967762742
Papua New Guinea,627.1163523,68.69999695,,,,2.9,Asia-Pacific,6.441132093273424,
Paraguay,1352.975654,64.90000153,,,,6.8,Latin America and Caribbean,7.210061633921679,
Peru,2529.840728,60.20000076,7.599999905,42.90000153,49.40000153,7.9,Latin America and Caribbean,7.835911626380236,2.0281482347922855
Philippines,1225.045039,45.5,24.39999962,11.30000019,64.30000305,8.9,Asia-Pacific,7.110732888833567,3.1945831167253855
Poland,5552.50127,39.70000076,15.0,17.5,67.5,12.1,Eastern Europe,8.622003784494355,2.70805020110221
Portugal,11716.00896,50.90000153,12.39999962,18.79999924,68.69999695,7.2,Western Europe and Other,9.368711472713464,2.517696441965829
Puerto Rico,18053.78721,33.79999924,0.400000006,11.30000019,88.40000153,,,9.801110759480897,-0.9162907168741551
Qatar,32070.9591,38.40000153,0.0,3.900000095,95.90000153,7.4,Asia-Pacific,10.375706198694642,0.0
Reunion,,34.90000153,,,,,,,
Romania,2444.048428,45.0,31.39999962,25.29999924,43.29999924,11.2,Eastern Europe,7.8014111351524535,3.4468078808122966
Russia,2654.200194,51.79999924,7.800000191,20.70000076,71.59999847,12.5,Eastern Europe,7.88389864309485,2.054123758182725
Rwanda,291.0580268,80.80000305,,,,2.5,Africa,5.673522652103992,
Saint Lucia,,,,,,9.0,Latin America and Caribbean,8.162120526147186,
Samoa,1771.581102,,,,,11.5,Asia-Pacific,7.479627704798651,
San Marino,30808.27931,,0.300000012,23.29999924,76.40000153,11.6,Western Europe and Other,10.335538741605296,-1.2039727643259368
Sao Tome and Principe,,,,,,3.4,,,
Saudi Arabia,9440.180027,17.0,0.400000006,1.0,98.5,4.4,Asia-Pacific,9.152730329614483,-0.9162907168741551
Senegal,539.4896428,56.29999924,33.0,4.900000095,42.0,1.3,Africa,6.290623586738191,3.4965075614664802
Serbia,1102.68089,45.199999915,19.20000076,18.70000076,62.09999847,9.6,Eastern Europe,7.005499666424929,2.9549103186170687
Serbia and Montenegro,,39.09999847,,,,,,,
