country,income,employ_above_15,agr,ind,ser,education,region
Italy,20102.23023,34.40000153,3.299999952,16.79999924,79.90000153,9.9,Western Europe and Other
Jamaica,,49.0,8.300000191,4.599999905,86.80000305,9.9,Latin America and Caribbean
Japan,39965.85551,46.59999847,4.300000191,17.70000076,76.90000153,12.0,Asia-Pacific
Jordan,2250.274213,13.19999981,,,,7.9,Asia-Pacific
Kazakhstan,2166.323302,57.40000153,,,,11.5,Asia-Pacific
Kenya,442.0213127,66.59999847,,,,5.3,Africa
Kiribati,769.2194408,,,,,8.6,
South Korea,14446.3586,,,,,,Asia-Pacific
Kosovo,1614.51344,,,,,,
Kuwait,25034.0479,41.59999847,,,,6.4,Asia-Pacific
Kyrgyz Republic,325.8628655,,,,,,
Lao,435.6645778,,,,,,
Latvia,5695.361455,50.40000153,7.900000095,16.39999962,74.80000305,12.5,Eastern Europe
Lebanon,5103.490175,22.20000076,,,,7.8,Asia-Pacific
Lesotho,430.3513273,52.20000076,,,,7.9,Africa
Liberia,196.9509939,53.0,,,,2.0,Africa
Libya,7458.766454,22.10000038,,,,,Africa
Liechtenstein,80275.88488,,,,,,Western Europe and Other
Lithuania,5287.136551,48.09999847,10.19999981,19.5,70.30000305,12.1,Eastern Europe
Luxembourg,53628.23455,43.09999847,,,,10.7,Western Europe and Other
"Macao, China",24595.65317,57.40000153,0.200000003,18.10000038,81.69999695,,
"Macedonia, FYR",1993.12215,26.29999924,20.29999924,29.29999924,50.09999847,9.1,
Madagascar,247.3222293,81.0,,,,4.0,Africa
Malawi,148.2569961,69.19999695,,,,3.0,Africa
Malaysia,4695.229726,42.79999924,10.0,24.70000076,65.19999695,7.2,Asia-Pacific
Maldives,3209.469325,40.40000153,7.099999905,31.79999924,55.90000153,3.3,Asia-Pacific
Mali,255.1821602,33.79999924,,,,0.8,Africa
Malta,10405.84596,28.89999962,0.200000003,14.80000019,84.40000153,,Western Europe and Other
Marshall Islands,2404.736431,,,,,8.5,Asia-Pacific
Martinique,,38.90000153,,,,,
Mauritania,616.1063541,45.90000153,,,,1.3,Africa
Mauritius,4419.912257,35.20000076,8.100000381,27.29999924,64.30000305,7.4,Africa
Mexico,6211.927234,40.59999847,4.599999905,19.0,75.69999695,7.1,Latin America and Caribbean
"Micronesia, Fed. Sts.",2185.269074,,,,,,
Moldova,530.0947081,44.20000076,31.89999962,12.39999962,55.59999847,10.8,Eastern Europe
Monaco,85942.67113,,,,,,Western Europe and Other
Mongolia,653.8074697,50.40000153,,,,8.8,Asia-Pacific
Montenegro,1958.154415,,,,,10.2,Eastern Europe
Morocco,1632.1342,23.29999924,61.29999924,14.5,24.10000038,2.2,Africa
Mozambique,323.7736997,82.19999695,,,,1.5,Africa
Myanmar,,66.40000153,,,,4.3,Asia-Pacific
Namibia,2512.927204,37.20000076,,,,6.4,Africa
Nepal,241.0469797,54.59999847,,,,1.1,Asia-Pacific
Netherlands,26007.67914,53.29999924,,,,11.1,Western Europe and Other
Netherlands Antilles,,46.20000076,,,,,
New Zealand,15103.23038,58.29999924,5.099999905,10.5,84.09999847,12.0,Western Europe and Other
Nicaragua,1130.956438,34.90000153,8.399999619,17.79999924,73.19999695,5.4,Latin America and Caribbean
Niger,171.7644805,38.09999847,,,,0.5,Africa
Nigeria,458.6349173,36.09999847,,,,3.6,Africa
Norway,41245.80863,59.5,1.399999976,7.900000095,90.5,13.3,Western Europe and Other
Oman,10006.30307,21.89999962,,,,4.5,Asia-Pacific
Pakistan,620.2956378,18.79999924,,,,2.1,Asia-Pacific
Palau,6587.7246,,,,,,Asia-Pacific
Panama,4726.880151,40.90000153,4.5,8.800000191,86.69999695,9.4,Latin America and Caribbean
Papua New Guinea,627.1163523,68.69999695,,,,2.9,Asia-Pacific
Paraguay,1352.975654,64.90000153,,,,6.8,Latin America and Caribbean
Peru,2529.840728,60.20000076,7.599999905,42.90000153,49.40000153,7.9,Latin America and Caribbean
Philippines,1225.045039,45.5,24.39999962,11.30000019,64.30000305,8.9,Asia-Pacific
Poland,5552.50127,39.70000076,15.0,17.5,67.5,12.1,Eastern Europe
Portugal,11716.00896,50.90000153,12.39999962,18.79999924,68.69999695,7.2,Western Europe and Other
Puerto Rico,18053.78721,33.79999924,0.400000006,11.30000019,88.40000153,,
Qatar,32070.9591,38.40000153,0.0,3.900000095,95.90000153,7.4,Asia-Pacific
Reunion,,34.90000153,,,,,
Romania,2444.048428,45.0,31.39999962,25.29999924,43.29999924,11.2,Eastern Europe
Russia,2654.200194,51.79999924,7.800000191,20.70000076,71.59999847,12.5,Eastern Europe
Rwanda,291.0580268,80.80000305,,,,2.5,Africa
St. Kitts and Nevis,10607.8774,,,,,,
St. Lucia,5315.874333,,,,,,
St. Vincent and the Grenadines,4872.784507,,,,,,
Samoa,1771.581102,,,,,11.5,Asia-Pacific
San Marino,30808.27931,,0.300000012,23.29999924,76.40000153,,Western Europe and Other
Sao Tome and Principe,,,,,,3.4,
